원천도형ID,읍면동코드,읍면동명,데이터기준일자,제공기관코드,제공기관명
9075,44270320,석문면,2018-01-11,AAAAAAA,공공데이터활용지원센터
9076,44270310,고대면,2018-01-11,AAAAAAA,공공데이터활용지원센터
66,28140105,창영동,2018-01-11,AAAAAAA,공공데이터활용지원센터
44005,43111320,미원면,2018-01-11,AAAAAAA,공공데이터활용지원센터
3986,48250127,신문동,2018-01-11,AAAAAAA,공공데이터활용지원센터
1986,28200102,간석동,2018-01-11,AAAAAAA,공공데이터활용지원센터
46245,43111310,낭성면,2018-01-11,AAAAAAA,공공데이터활용지원센터
18967,44210109,예천동,2018-01-11,AAAAAAA,공공데이터활용지원센터
18968,44210101,읍내동,2018-01-11,AAAAAAA,공공데이터활용지원센터
45925,43114253,오창읍,2018-01-11,AAAAAAA,공공데이터활용지원센터
2705,42170123,묵호진동,2018-01-11,AAAAAAA,공공데이터활용지원센터
46564,43111123,산성동,2018-01-11,AAAAAAA,공공데이터활용지원센터
3025,31140600,옥동,2018-01-11,AAAAAAA,공공데이터활용지원센터
785,47230110,화룡동,2018-01-11,AAAAAAA,공공데이터활용지원센터
1329,28720360,영흥면,2018-01-11,AAAAAAA,공공데이터활용지원센터
18945,46910310,증도면,2018-01-11,AAAAAAA,공공데이터활용지원센터
1363,50130250,대정읍,2018-01-11,AAAAAAA,공공데이터활용지원센터
817,47230123,오미동,2018-01-11,AAAAAAA,공공데이터활용지원센터
6545,41220253,안중읍,2018-01-11,AAAAAAA,공공데이터활용지원센터
6546,41220370,현덕면,2018-01-11,AAAAAAA,공공데이터활용지원센터
7025,45111139,삼천동3가,2018-01-11,AAAAAAA,공공데이터활용지원센터
22810,44210105,잠홍동,2018-01-11,AAAAAAA,공공데이터활용지원센터
3987,48250128,삼문동,2018-01-11,AAAAAAA,공공데이터활용지원센터
44969,43114250,내수읍,2018-01-11,AAAAAAA,공공데이터활용지원센터
8113,44270250,합덕읍,2018-01-11,AAAAAAA,공공데이터활용지원센터
2022,11440110,노고산동,2018-01-11,AAAAAAA,공공데이터활용지원센터
6391,46110695,죽교동,2018-01-11,AAAAAAA,공공데이터활용지원센터
1714,11440610,염리동,2018-01-11,AAAAAAA,공공데이터활용지원센터
2018,11440103,신공덕동,2018-01-11,AAAAAAA,공공데이터활용지원센터
2017,11440565,공덕동,2018-01-11,AAAAAAA,공공데이터활용지원센터
2051,28260118,금곡동,2018-01-11,AAAAAAA,공공데이터활용지원센터
14497,48129163,안골동,2018-01-11,AAAAAAA,공공데이터활용지원센터
14182,48129164,용원동,2018-01-11,AAAAAAA,공공데이터활용지원센터
4849,41590410,정남면,2018-01-11,AAAAAAA,공공데이터활용지원센터
2021,11440660,서교동,2018-01-11,AAAAAAA,공공데이터활용지원센터
2024,11440630,신수동,2018-01-11,AAAAAAA,공공데이터활용지원센터
2993,47210111,조암동,2018-01-11,AAAAAAA,공공데이터활용지원센터
2994,47210104,휴천동,2018-01-11,AAAAAAA,공공데이터활용지원센터
15473,48310106,옥포동,2018-01-11,AAAAAAA,공공데이터활용지원센터
9730,45130114,창성동,2018-01-11,AAAAAAA,공공데이터활용지원센터
9413,45130115,명산동,2018-01-11,AAAAAAA,공공데이터활용지원센터
9414,45130116,송창동,2018-01-11,AAAAAAA,공공데이터활용지원센터
9729,45130112,선양동,2018-01-11,AAAAAAA,공공데이터활용지원센터
10370,46130118,신월동,2018-01-11,AAAAAAA,공공데이터활용지원센터
