육교명,도로종류,도로노선번호,도로노선명,소재지도로명주소,위도,경도,육교연장,육교높이,허용통행하중,통행제한높이,육교폭,난간높이,조명개수,장애인편의시설설치여부,장애인편의시설종류,장애인편의시설수량,부대시설종류,부대시설수량,육교준공일자,내진설계적용여부,안전등급,사용제한구분,육교보수보강내역,최종안전점검유형,최종안전점검일자,관리기관명,데이터기준일자,제공기관코드,제공기관명
중앙공원관리사무소 앞 육교,시도,시도,관평로,경기도 안양시 동안구 관평로138번길 13,37.3906535,126.9632949,89.8,5.5,,5,4,1.1,,Y,경사로,1,,,1992-10-10,N,양호,제한없음,,정기점검,2019-04-12,동안구 건설과,2019-09-16,3830000,경기도 안양시
희성초교 앞 육교,시도,시도,학의로,경기도 안양시 동안구 학의로 90,37.3987117,126.9495243,91,5,,4.5,4,1.1,,Y,경사로,1,,,1998-03-16,N,양호,제한없음,,정기점검,2019-04-12,동안구 건설과,2019-09-16,3830000,경기도 안양시
부안초교 앞 육교,시도,시도,달안로,경기도 안양시 동안구 달안로 117,37.3978633,126.9554415,94,5,,4.5,4,1.1,,Y,경사로,1,,,1998-03-22,N,양호,제한없음,,정기점검,2019-04-12,동안구 건설과,2019-09-16,3830000,경기도 안양시
달안동주민센터 앞 육교,시도,시도,달안로,경기도 안양시 동안구 달안로 71,37.396314,126.9507758,84.6,5.5,,5,4,1.1,,Y,경사로,1,,,1993-10-14,N,양호,제한없음,,정기점검,2019-04-12,동안구 건설과,2019-09-16,3830000,경기도 안양시
게내육교,구도,1,고덕천,서울특별시 강동구 상이로 152,37.559288,127.171977,52,,,10,4.5,1,2,N,없음,,,,2011-12-30,N,양호,제한없음,,정기점검,2019-12-06,서울특별시 강동구,2019-12-06,3240000,서울특별시 강동구
강일육교,특별시도,1,아리수로,서울특별시 강동구 아리수로93길 40,37.565504,127.176338,160,,,7,4.5,1,2,N,없음,,,,2010-04-20,N,양호,제한없음,,정기점검,2019-12-06,서울특별시 강동구,2019-12-06,3240000,서울특별시 강동구
숲길교,특별시도,1,구천면로,서울특별시 강동구 구천면로 557,37.549783,127.158935,27,,,4.5,4.5,1,2,N,없음,,,,2015-12-24,N,양호,제한없음,,정기점검,2019-12-06,서울특별시 강동구,2019-12-06,3240000,서울특별시 강동구
도림초교앞 보도육교,일반국도,43번,아차산로,경기도 구리시 아차산로,37.593438,127.131224,38.5,5.1,5,5,4,1.2,7,N,미설치,0,,,1996-01-01,N,양호,제한없음,"2019.06 캐노피설치, 유리난간 설치 등 완료",정기점검,2019-03-27,경기도 구리시청,2019-12-03,3980000,경기도 구리시
도매시장앞 보도육교,시도,43번,동구릉로,경기도 구리시 동구릉로 136번길,37.610882,127.139437,37.9,5.3,5,4.5,4,1.2,9,N,미설치,0,,,1998-01-01,N,양호,제한없음,12월 중순 철거 예정,정기점검,2019-03-27,경기도 구리시청,2019-12-03,3980000,경기도 구리시
왕숙천둔치연결 보도육교,시도,43번,왕숙천로,경기도 구리시 왕숙천로,37.601906,127.148921,26.5,5.3,5,5,4,1.2,5,Y,경사로,1,,,2008-01-01,N,양호,제한없음,,정기점검,2019-03-27,경기도 구리시청,2019-12-03,3980000,경기도 구리시
민락초등학교 앞 육교,시도,2003,광남로,부산광역시 수영구 광남로 271,35.160525,129.128439,56,,,4.9,,,,Y,승강기 3기,,,,,N,보통,제한없음,,정밀점검,2017-10-24,수영구청,2019-11-18,3380000,부산광역시 수영구
수영강변 e편한세상 앞 육교,시도,79,좌수영로,부산광역시 수영구 좌수영로 190,35.181114,129.116592,30.6,,,4.8,,,,Y,승강기 2기,,,,,N,보통,제한없음,,정밀점검,2017-10-24,수영구청,2019-11-18,3380000,부산광역시 수영구
민락교 접속육교,시도,2401,광안해변로,부산광역시 수영구 광안해변로 418,35.159653,129.131094,5.3,,,8.4,,,,N,-,,,,,N,보통,제한없음,,정밀점검,2017-10-24,수영구청,2019-11-18,3380000,부산광역시 수영구
