환승센터명,환승센터유형코드,시도명,시군구명,시군구코드,소재지도로명주소,소재지지번주소,위도,경도,환승센터면적,환승대상교통시설,버스정류소ID,버스정류소명,도시철도노선번호,도시철도노선명,도시철도역사번호,도시철도역사명,고속일반철도노선번호,고속일반철도노선명,고속일반철도역사명,여객자동차터미널명,공항여객터미널명,항만대합실명,일반주차단위구획수,대형주차단위구획수,기타환승대상교통시설명,점자판설치여부,무장애환경여부,편의시설종류,지정일자,지정목적,개발시작년도,개발종료년도,개발주체유형코드,운영유무,데이터기준일자,제공기관코드,제공기관명
세종시복합환승센터,03,세종특별자치시,없음,56900,세종특별자치시 갈매로 37-12,세종특별자치시 대평동 269-14,36.46922532,127.2736641,5772,04,,,,,,,,,,세종고속시외버스터미널,,,,,,Y,Y,,2018-03-11,,2014,2014,02,Y,2019-04-29,5690000,세종특별자치시
광교중앙(아주대)역 버스환승센터,05,경기도,수원시,41110,,경기도 수원시 영통구 이의동 268-1,37.2882580814,127.051897652,5567,01+02,203000399+203000589,광교중앙아주대역환승센터1+광교중앙아주대역환승센터2,I1102,신분당선,4318,광교중앙(아주대)역,,,,,,,,,,Y,Y,,2017-05-01,,2011,2016,02,Y,2019-09-07,3740000,경기도 수원시
익산역환승장,06,전라북도,익산시,45140,전라북도 익산시 익산대로 153,전라북도 익산시 창인동2가 1,35.9418671243,126.9473078845,2333.4,03+04+07+08,,,,,,,1247,KTX호남선+호남선,익산역,익산역 시외버스 정류소,,,150,2,,Y,Y,,2015-04-01,,2014,2015,02,Y,2020-02-03,4680000,전라북도 익산시
안산역,3 ,경기도,안산시 단원구,41273,경기도 안산시 단원구 중앙대로 462,경기도 안산시 단원구 원곡동 339-2,37.3279761125,126.7872905862,257,1,217000174,안산역,,,,,,,,,,,,,,Y,Y,,2007-12-23,,2007,2007,2 ,Y,2020-03-02,3930000,경기도 안산시
오산역환승센터,6 ,경기도,오산시,41370,경기도 오산시 역광장로 59,경기도 오산시 오산동 603-116,37.1455208173,127.0667929135,18897,01+02+03+04+07,223000126,오산역환승센터,S4101,광역철도,P160,오산역,301,경부선,오산역,오산역환승센터,,,,,,Y,N,수유방,2017-11-01,,2014,2017,2 ,Y,2020-05-27,4000000,경기도 오산시
대산공영버스터미널,06,충청남도,서산시,44210,충청남도 서산시 대산읍 정자동4로 8,,36.9390928575,126.4304005,576.0,04+07,,,,,,,,,,서산시외버스터미널,,,,,,Y,N,,2019-01-01,,2017,2018,02,Y,2020-06-22,4530000,충청남도 서산시
화순환승정류장,5 ,제주특별자치도,서귀포시,50130,제주특별자치도 서귀포시 안덕면 화순로 104,제주특별자치도 서귀포시 안덕면 화순리 1079-4,33.2467995210,126.3351814,24,1,406000938+406000939,화순환승정류장,,,,,,,,,,,,,,Y,Y,,2017-08-06,,2017,2017,2 ,Y,2020-07-07,6500000,제주특별자치도
함덕환승정류장,5 ,제주특별자치도,제주시,50110,제주특별자치도 제주시 조천읍 신북로 554,제주특별자치도 제주시 조천읍 함덕리 4143,33.5409002216,126.6688789,24,1,405000198+405000204,함덕환승정류장,,,,,,,,,,,,,,Y,Y,,2017-08-06,,2017,2017,2 ,Y,2020-07-07,6500000,제주특별자치도
한림환승정류장,5 ,제주특별자치도,제주시,50110,제주특별자치도 제주시 한림읍 한림로 664,제주특별자치도 제주시 한림읍 한림리 1582,33.4143627,126.2640581380,24,1,405001243+405001244,한림환승정류장,,,,,,,,,,,,,,Y,Y,,2017-08-06,,2017,2017,2 ,Y,2020-07-07,6500000,제주특별자치도
동대구역복합환승센터,2 ,대구광역시,동구,27140,대구광역시 동구 동부로 149,대구광역시 동구 신천동 1506,35.8779398716,128.6291892327,275252.28,01+02+04+07+99,701100400,동대구역복합환승센터앞,S2701,대구 도시철도 1호선,135,지하철동대구역,101,KTX경부선,KTX동대구역,동대구터미널,,,,,자전거,Y,N,매표소+대합실+화장실+물품보관실+수유실+수화물센터+백화점,2012-08-10,"여객터미널 통합배치를 통해 교통수단간 효율적인 연계환승체계 구축, 환승시설과 환승지원시설 복합개발로 교통이용자 편의 향상, 동대구역세권 개발에 따른 지역경제 활성화 기대",2014,2016,1 ,Y,2019-06-26,6270000,대구광역시
