산코드,산명,등산로순번,등산로명,등산로주요지점내용,등산로길이,등산로난이도명,등산로상행시간,등산로하행시간,등산로재질내용,등산로통제여부,등산로폐쇄여부,등산로위험구간내용,등산로추천여부,데이터기준일자,제공기관코드,제공기관명
477200300,에뚜산,1,에뚜산등산로,,1.7,중간,50,30,"산길, 목계단 등",N,N,,Y,2020-07-08,5140000,경상북도 군위군
477200400,조림산,1,조림산등산로,조림산정상,5.74,중간,210,180,"산길, 목계단 등",N,N,,Y,2020-07-08,5140000,경상북도 군위군
477200500,마정산,1,마정산등산로,마정산정상,4.33,중간,150,120,"산길, 목계단 등",N,N,,Y,2020-07-08,5140000,경상북도 군위군
477200600,선암산,1,선암산등산로,선암산정상,3.73,중간,90,60,"산길, 목계단 등",N,N,,Y,2020-07-08,5140000,경상북도 군위군
477200700,냉산,1,냉산등산로,,1.1,중간,30,30,"산길, 목계단 등",N,N,,Y,2020-07-08,5140000,경상북도 군위군
457402601,장안산,1,무룡고개 ~ 장안산 정상,"장안산은 장수읍에서 동향30리 계남면에서 동남향10리 장계면에서 남향20리, 번암면에서 동향 50리 지점에 위치하고 있는 산이다. 산의 높이는 약1,237m로 장수·장계·계남·번암의 4개 면을 걸쳐 있는 산으로 1986년에 군립공원으로 지정이 되었다.백두대간이 뻗은 자리에 위치한 장안산은 전국8대 종산의 하나인데 그 중 제일 광활한 면적을 점유하고 있고, 노령산맥(蘆嶺山脈)의 줄기이기도 한다. 덕산계곡을 비롯한 크고 작은 계곡26개소와 ?m용소",3.2,쉬움,,,,,,,,2020-07-09,4750000,전라북도 장수군
457402601,장안산,2,괴목동 ~ 장안산 정상,,5,쉬움,,,,,,,,2020-07-09,4750000,전라북도 장수군
457402601,장안산,3,지소골 ~ 장안산 정상,,3,쉬움,,,,,,,,2020-07-09,4750000,전라북도 장수군
457402601,장안산,4,밀목재 ~ 장안산 정상,,9,중간,,,,,,,,2020-07-09,4750000,전라북도 장수군
457402601,장안산,5,범연동 ~ 장안산 정상,,5.5,쉬움,,,,,,,,2020-07-09,4750000,전라북도 장수군
457402601,장안산,6,연주 ~ 장안산 정상,,5.7,쉬움,,,,,,,,2020-07-09,4750000,전라북도 장수군
457402601,장안산,7,삼거마을 ~ 장안산 정상,,3.6,쉬움,,,,,,,,2020-07-09,4750000,전라북도 장수군
