시도명,시군구명,지반침하지역상세,위도,경도,발생일자,발생규모면적,발생규모연장,발생규모깊이,발생지역지질종류,최초발생원인,피해사망자수,피해부상자수,피해차량대수,복구상태,복구방법,복구비용,복구완료일자,데이터기준일자,제공기관코드,제공기관명
대구광역시,달성군,대구광역시 달성군 유가읍 한정리 47-6,35.654331232,128.453121721,2017-09-09,9.00,3.00,0.04,,오수관로 굴착부분 다짐 불량,0,0,0,복구완료,연간단가계약복구,,2017-09-09,2020-07-01,3480000,대구광역시 달성군
대구광역시,달성군,대구광역시 달성군 현풍읍 현풍중앙로10길 56,35.695069,128.448447,2017-09-17,3.00,3.00,0.03,,오수관로 굴착부분 다짐 불량,0,0,0,복구완료,연간단가계약복구,,2017-09-17,2020-07-01,3480000,대구광역시 달성군
대구광역시,달성군,대구광역시 달성군 가창면 가창로 129,35.748602,128.651575,2017-09-29,2.72,1.70,0.20,,맨홀 옆 다짐불량으로 인한 동공,0,0,0,복구완료,연간단가계약복구,,2017-09-29,2020-07-01,3480000,대구광역시 달성군
대구광역시,달성군,대구광역시 달성군 논공읍 남리1길 5,35.725262,128.449959,2017-11-04,2.00,2.00,0.04,,오수관로 굴착부분 다짐 불량,0,0,0,복구완료,연간단가계약복구,,2017-11-04,2020-07-01,3480000,대구광역시 달성군
대구광역시,달성군,대구광역시 달성군 유가읍 유곡리 468-1,35.669987,128.463349,2017-11-04,1.40,2.00,0.03,,오수관로 굴착부분 다짐 불량,0,0,0,복구완료,연간단가계약복구,,2017-11-04,2020-07-01,3480000,대구광역시 달성군
대구광역시,달성군,대구광역시 달성군 구지면 창리 1039-4,35.657369,128.410679,2017-12-01,1.00,1.00,0.03,,도로 다짐 불량,0,0,0,복구완료,연간단가계약복구,,2017-12-01,2020-07-01,3480000,대구광역시 달성군
대구광역시,달성군,대구광역시 달성군 구지면 고봉리 406-1,35.650299,128.438199,2017-12-02,3.00,3.00,0.04,,용배수로관 굴착부분 다짐 불량,0,0,0,복구완료,연간단가계약복구,,2017-12-02,2020-07-01,3480000,대구광역시 달성군
대구광역시,달성군,대구광역시 달성군 현풍읍 중리 344-5,35.691595,128.445632,2018-04-02,2.00,2.00,0.30,,아스팔트와 측구 접합부 다짐 불량,0,0,0,복구완료,연간단가계약복구,,2018-04-05,2020-07-01,3480000,대구광역시 달성군
대구광역시,달성군,대구광역시 달성군 하빈면 기곡리 120,35.929826858,128.443006166,2018-05-02,1.00,1.00,0.30,,아스팔트 접합부 손상으로 포장 파손 및 토사 유실,0,0,0,복구완료,연간단가계약복구,,2018-05-02,2020-07-01,3480000,대구광역시 달성군
대구광역시,달성군,대구광역시 달성군 하빈면 하산리 941,35.879577,128.403116,2018-06-28,1.40,2.00,0.40,,상수도공사 굴착부분 장기 침하,0,0,0,복구완료,연간단가계약복구,,2018-06-28,2020-07-01,3480000,대구광역시 달성군
대구광역시,달성군,대구광역시 달성군 화원읍 천내리 화원시장 옆,35.800951,128.498935,2018-05-16,2.25,1.50,0.30,,상수도공사 굴착부분 장기 침하,0,0,0,복구완료,연간단가계약복구,,2018-05-17,2020-07-01,3480000,대구광역시 달성군
대구광역시,달성군,대구광역시 달성군 화원읍 성화로 26 남편,35.800805,128.489979,2019-08-10,0.70,1.00,0.60,,하수관 손상,0,0,0,복구완료,연간단가계약복구,,2019-08-10,2020-07-01,3480000,대구광역시 달성군
대구광역시,달성군,대구광역시 달성군 논공읍 논공로 242 북서편,35.723491,128.454329,2019-10-07,1.20,1.50,0.90,,하수관 손상,0,0,0,복구완료,연간단가계약복구,,2019-10-07,2020-07-01,3480000,대구광역시 달성군
대구광역시,달성군,대구광역시 달성군 논공읍 중앙로 355 남편,35.724276,128.442755,2019-10-11,0.56,0.70,0.60,,기타매설물 손상,0,0,0,복구완료,연간단가계약복구,,2019-10-11,2020-07-01,3480000,대구광역시 달성군
대구광역시,달성군,대구광역시 달성군 논공중앙로275 남편,35.734857,128.463348,2019-11-11,0.64,0.80,0.70,,하수관 손상,0,0,0,복구완료,연간단가계약복구,,2019-11-11,2020-07-01,3480000,대구광역시 달성군
경상북도,포항시,경상북도 포항시 남구 해도동 고속버스터미널 앞,36.027757,129.367067,2018-05-08,0.08,20,0.5,충적층,오피스텔 기초 기하연속벽(슬러리월) 누수로 인한 주변 지하수 및 토사유출로 도로 침하 발생,0,0,0,복구완료,지반보강(LW 8RHD) 그라우팅 시공포장(인도포함)복구 완료,,2018-09-18,2020-07-09,5020000,경상북도 포항시
경상북도,포항시,포항시 남구 이동 209-3번지,36.033418,129.334261,2019-10-03,4,5,3.5,기타,배수관 이음부 누수로 인한 토사 유출로 추정,0,0,0,복구완료,토사 유출부 되메우기 및 포장복구,,2019-10-03,2020-07-09,5020000,경상북도 포항시
인천광역시,중구,인천광역시 중구 항동7가 27-123 연안초등학교보도,37.452841,126.608408,2019-12-26,0.3,0.3,0.2,,노후 하수관 손상,0,0,0,복구완료,하수관 보수 후 포장복구 완료,3000000,2020-01-15,2020-07-02,3490000,인천광역시 중구
